Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Chine continentale;Piments;vegetale;;1;0.14;0.05;0.05;;208;97;4;199;9;300;;;
Chine continentale;Racines nda;vegetale;;3;1.12;0.01;0.05;98;1744;107;1;1556;90;1850;;;
Taiwan Province de Chine;Graines de tournesol;vegetale;;1;0.11;0.08;0.04;;3;0;3;3;0;0;;;
Taiwan Province de Chine;Poivre;vegetale;;1;0.13;0.01;0.04;;3;0;3;3;;;;;
Chine continentale;Agrumes, Autres;vegetale;;2;3.23;0.02;0.04;;4481;4;18;4481;;4468;;;
Chine continentale;Aliments pour enfants;vegetale;;1;0.09;0.01;0.04;;121;0;122;121;;;;;0
Chine continentale;Épices, Autres;vegetale;;1;0.13;0.04;0.04;;176;432;3;176;;605;;;0
Taiwan Province de Chine;Agrumes, Autres;vegetale;;2;2.7;0.01;0.03;;68;3;1;63;4;70;;2;0
Taiwan Province de Chine;Pamplemousse;vegetale;;2;3.44;0.01;0.03;;86;10;12;80;5;85;;2;0
Chine continentale;Avoine;vegetale;;1;0.12;0.01;0.03;500;707;0;93;160;30;614;17;;0
Chine continentale;Haricots;vegetale;;0;0.05;0;0.03;80;251;800;23;66;32;1028;74;;0
Chine continentale;Pamplemousse;vegetale;;2;2.32;0.01;0.03;;3591;158;32;3218;374;3717;;;
Taiwan Province de Chine;Animaux Aquatiques Autre;animale;0;0;0.4;0;0.02;;9;1;8;9;;2;;;
Taiwan Province de Chine;Beurre, Ghee;animale;0;15;0.74;1.74;0.02;;17;0;18;17;;0;;;
Taiwan Province de Chine;Crème;animale;;2;0.3;0.16;0.02;;7;0;7;7;;;;;
Taiwan Province de Chine;Pommes;vegetale;;7;6.39;0.04;0.02;;186;3;187;149;7;2;;29;0
Taiwan Province de Chine;Viande, Autre;animale;;0;0.07;0.01;0.02;;2;0;1;2;;1;;;
Chine continentale;Citrons & Limes;vegetale;;1;1.24;0.04;0.02;;1914;15;15;1722;192;1915;;;
Chine continentale;Feve de Cacao;vegetale;;0;0.08;0.02;0.02;;117;58;175;117;;;;;0
Chine continentale;Orge;vegetale;7;1;0.15;0;0.02;23;3484;615;2400;208;200;1699;49;2997;0
Chine continentale;Seigle;vegetale;;1;0.09;0;0.02;480;650;0;0;122;27;650;21;;0
Taiwan Province de Chine;Boissons Fermentés;vegetale;0;4;1.34;;0.01;;32;0;2;31;;30;;;
Taiwan Province de Chine;Citrons & Limes;vegetale;;0;0.99;0;0.01;;23;0;0;23;0;23;;0;0
Taiwan Province de Chine;Dattes;vegetale;;1;0.18;0;0.01;;4;0;4;4;;;;;
Taiwan Province de Chine;Miel;vegetale;;6;0.72;;0.01;;17;2;3;17;;16;;;
Taiwan Province de Chine;Plantes Oleiferes, Autre;vegetale;0;0;0.02;0.02;0.01;22;29;10;17;1;;22;;6;0
Taiwan Province de Chine;Sucre, canne;vegetale;;1;1.29;;0.01;;650;0;;30;;650;;620;
Chine continentale;Ananas;vegetale;;1;0.98;0;0.01;;1431;42;87;1351;71;1386;;8;
Chine continentale;Boissons Fermentés;vegetale;;3;1.98;;0.01;;2806;26;4;2749;57;2828;;;
Chine continentale;Café;vegetale;;0;0.05;;0.01;;63;131;78;63;;117;;;0
Chine continentale;Coco (Incl Coprah);vegetale;;1;0.32;0.12;0.01;;467;0;212;445;22;255;;;
Chine continentale;Poivre;vegetale;;0;0.02;0;0.01;;32;2;3;32;;31;;;
Chine continentale;Sucre non centrifugé;vegetale;;3;0.32;0;0.01;;440;;;440;;440;;;
Afghanistan;Ananas;vegetale;0;0;;;0;;;;0;0;;;;;
Afghanistan;Boissons Alcooliques;vegetale;0;0;;;0;;;;0;0;;;;;
Afghanistan;Café;vegetale;0;0;;0;0;;;;0;0;;;;;
Afghanistan;Coco (Incl Coprah);vegetale;0;0;0;0;0;;;;0;0;;;;;
Afghanistan;Céréales, Autres;vegetale;0;0;0;0;0;;;;0;0;;;;;
Afghanistan;Huile d'Arachide;vegetale;0;0;0;;0;;;;0;0;;;;;
Afghanistan;Poivre;vegetale;0;0;0;0;0;;;0;0;0;;;;;0
Afghanistan;Tomates;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Afghanistan;Vin;vegetale;0;0;;;0;;;;0;0;;;;;
Afrique du Sud;Aliments pour enfants;vegetale;0;0;0;0;0;;;5;2;0;;;;;2
Afrique du Sud;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Afrique du Sud;Girofles;vegetale;0;0.01;0;0;0;;;0;0;0;;;;;
Afrique du Sud;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Afrique du Sud;Huiles de Poissons;animale;0;0;0;0;0;0;0;1;0;0;;1;;;0
Afrique du Sud;Ignames;vegetale;0;0;;;0;;;0;0;0;;;;;
Afrique du Sud;Palmistes;vegetale;;;;;0;;0;0;0;;;;;;
Afrique du Sud;Sucre, betterave;vegetale;;;;;0;0;;0;0;;;;;;
Albanie;Aliments pour enfants;vegetale;1;0.09;0.01;0.04;0;;;;0;0;;;;;
Albanie;Ananas;vegetale;0;0.05;;;0;;;;0;0;;;;;
Albanie;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;0;;;
Albanie;Boissons Fermentés;vegetale;0;0;;;0;;;;0;0;;;;;
Albanie;Coco (Incl Coprah);vegetale;0;0.01;0.01;0;0;;;0;0;0;;;;;0
Albanie;Crème;animale;0;0.03;0.02;0;0;;;;0;0;;;;;
Albanie;Céréales, Autres;vegetale;0;0.08;0;0.01;0;0;;0;0;0;;;;;0
Albanie;Graines Colza/Moutarde;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Albanie;Huile Graines de Coton;vegetale;;;;;0;;0;;0;;;0;;;
Albanie;Huile d'Arachide;vegetale;0;0.01;0.02;;0;;;0;0;0;;0;;;
Albanie;Huile de Coco;vegetale;;;;;0;;0;;0;;;;;;
Albanie;Huile de Colza&Moutarde;vegetale;1;0.03;0.07;;0;;;0;0;0;;;;;0
Albanie;Huile de Palmistes;vegetale;;;;;0;;0;;0;;;;;;0
Albanie;Huile de Soja;vegetale;3;0.12;0.32;;0;;;0;0;0;;0;;;
Albanie;Huile de Sésame;vegetale;;;;;0;;0;0;0;;;;;;0
Albanie;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;;0;0;;;;;
Albanie;Huiles de Poissons;animale;0;0;0;0;0;;0;;0;0;;;;;
Albanie;Manioc;vegetale;0;0;;;0;;0;;0;0;;;;;
Albanie;Millet;vegetale;;;;;0;0;;;0;;;;;;
Albanie;Palmistes;vegetale;;;;;0;;0;0;0;;;;;;
Albanie;Pamplemousse;vegetale;0;0.12;;0;0;;;0;0;0;;;;;0
Albanie;Piments;vegetale;0;0.01;0;0;0;;;0;0;0;;;;;0
Albanie;Plantes Aquatiques;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Albanie;Plantes Oleiferes, Autre;vegetale;;;;;0;0;0;0;0;;;;;;0
Albanie;Pois;vegetale;0;0;;0;0;;;0;0;0;;;;;
Albanie;Poivre;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Albanie;Racines nda;vegetale;0;0;;;0;;;0;0;0;;;;;0
Albanie;Soja;vegetale;0;0;;;0;;;0;0;0;0;0;0;0;
Albanie;Sorgho;vegetale;;;;;0;0;;;0;;0;0;0;;
Albanie;Sésame;vegetale;;;;;0;;0;;0;;;;;;
Albanie;Thé;vegetale;0;0.08;;0.01;0;;;0;0;0;;;;;
Albanie;Viande, Autre;animale;0;0.04;0.01;0.02;0;;;0;0;0;;0;;;
Albanie;Épices, Autres;vegetale;0;0.04;0.01;0.01;0;;;0;0;0;;0;;;
Algérie;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;;;;
Algérie;Bananes plantains;vegetale;0;0;0;0;0;;;;0;0;;;;;
Algérie;Boissons Fermentés;vegetale;0;0;;;0;;;0;0;0;;;;;0
Algérie;Girofles;vegetale;0;0;0;0;0;;;;0;0;;;;;
Algérie;Graines de coton;vegetale;;;;;0;;0;0;0;;0;0;0;;0
Algérie;Huile Graines de Coton;vegetale;;;;;0;;0;0;0;;;;;;0
Algérie;Huile de Palmistes;vegetale;;;;;0;;0;;0;;;;;;
Algérie;Huile de Sésame;vegetale;0;0;0;;0;;;;0;0;;;;;0
Algérie;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;;0;0;;;;;
Algérie;Huiles de Poissons;animale;0;0;0;0;0;;0;;0;0;;;;;
Algérie;Manioc;vegetale;0;0;;;0;;;;0;0;;;;;
Algérie;Mollusques, Autres;animale;0;0.01;0;0;0;;0;0;0;0;;0;;;
Algérie;Palmistes;vegetale;0;0;0;;0;;;;0;0;;;;;
Algérie;Patates douces;vegetale;;;;;0;;;0;;;;;;;
Algérie;Plantes Aquatiques;animale;0;0;0;0;0;;0;;0;0;;;;;
Algérie;Racines nda;vegetale;0;0;;0;0;;;;0;0;;;;;
Algérie;Seigle;vegetale;0;0;0;0;0;;;;0;0;0;;;;
Algérie;Soja;vegetale;0;0;;0;0;0;;;0;0;;;;;
Algérie;Sucre, betterave;vegetale;;;;;0;;;;0;;0;0;;0;
Algérie;Sucre, canne;vegetale;;;;;0;0;;;0;;;;;;
Algérie;Viande de Suides;animale;0;0;0;0;0;;0;0;0;0;;0;;;0
Allemagne;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;0;1;0;;0;;;0
Allemagne;Girofles;vegetale;0;0.01;0;0;0;;;0;1;0;;;;;
Allemagne;Graines de coton;vegetale;;;;;0;;0;0;0;;;;;0;0
Allemagne;Huile Graines de Coton;vegetale;;;;;0;;0;0;0;;;0;;;0
Allemagne;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Allemagne;Palmistes;vegetale;;;;;0;;;0;0;;;;;0;0
Allemagne;Sucre, canne;vegetale;;;;;0;;0;;0;;;;;;
Angola;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;;;;
Angola;Avoine;vegetale;0;0.01;0;0;0;0;;0;0;0;;;;;0
Angola;Dattes;vegetale;0;0;;;0;;;;0;0;;;;;
Angola;Edulcorants Autres;vegetale;0;0.01;;;0;;;0;0;0;;;;;0
Angola;Girofles;vegetale;0;0;;;0;;;;0;0;;;;;
Angola;Huile de Coco;vegetale;0;0;0;;0;;;;0;0;;;;;
Angola;Huile de Germe de Maïs;vegetale;0;0;0.01;;0;;;;0;0;;;;;
Angola;Mollusques, Autres;animale;0;0;0;0;0;;0;;0;0;;;;;
Angola;Piments;vegetale;0;0;0;0;0;;;;0;0;;;;;
Angola;Plantes Aquatiques;animale;0;0;0;0;0;;0;;0;0;;;;;
Angola;Poivre;vegetale;0;0;0;0;0;;;;0;0;;;;;
Angola;Racines nda;vegetale;0;0;;;0;;;;0;0;;;;;
Angola;Épices, Autres;vegetale;0;0.02;0.01;0.01;0;;;0;0;0;;;;;0
Antigua-et-Barbuda;Abats Comestible;animale;8;2.74;0.18;1.37;0;;;;0;0;;0;;;
Antigua-et-Barbuda;Agrumes, Autres;vegetale;1;1.31;;;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Alcool, non Comestible;vegetale;;;;;0;;0;;0;;;;;;
Antigua-et-Barbuda;Aliments pour enfants;vegetale;6;0.56;0.03;0.24;0;;;;0;0;;;;;0
Antigua-et-Barbuda;Arachides Decortiquees;vegetale;14;0.85;1.16;0.64;0;;0;;0;0;;;;;0
Antigua-et-Barbuda;Avoine;vegetale;15;2.67;0.24;0.64;0;0;;0;0;0;;;;;0
Antigua-et-Barbuda;Bananes plantains;vegetale;5;2.48;;0.06;0;;;;0;0;;;;;
Antigua-et-Barbuda;Beurre, Ghee;animale;35;1.76;3.93;0.03;0;;0;;0;0;;;;;0
Antigua-et-Barbuda;Boissons Alcooliques;vegetale;43;5.33;;;0;;;0;1;0;;0;;;0
Antigua-et-Barbuda;Boissons Fermentés;vegetale;1;0.8;;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Café;vegetale;3;2.03;;0.18;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Cephalopodes;animale;1;0.3;0.01;0.12;0;;0;0;0;0;;;;;
Antigua-et-Barbuda;Citrons & Limes;vegetale;2;4.53;0.03;0.06;0;;0;;0;0;0;0;;;
Antigua-et-Barbuda;Coco (Incl Coprah);vegetale;4;0.86;0.4;0.03;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Céréales, Autres;vegetale;6;1.01;0.03;0.15;0;;;0;0;0;;;;;0
Antigua-et-Barbuda;Dattes;vegetale;0;0.09;;;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Feve de Cacao;vegetale;19;1;1.67;0.21;0;;0;;0;0;;;;;0
Antigua-et-Barbuda;Girofles;vegetale;0;0.04;;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Graines Colza/Moutarde;vegetale;3;0;0;0;0;;;;0;0;;;;;
Antigua-et-Barbuda;Graines de coton;vegetale;;;;;0;;0;;;;0;0;0;0;
Antigua-et-Barbuda;Graines de tournesol;vegetale;0;0.04;;;0;;0;0;0;0;;;;;
Antigua-et-Barbuda;Graisses Animales Crue;animale;33;1.63;3.68;0.03;0;;;;0;0;;0;;;0
Antigua-et-Barbuda;Haricots;vegetale;14;1.48;0.06;0.88;0;;0;0;0;0;;;;;0
Antigua-et-Barbuda;Huil Plantes Oleif Autr;vegetale;87;3.69;9.83;0.09;0;;0;;1;0;;;;;0
Antigua-et-Barbuda;Huile Graines de Coton;vegetale;2;0.08;0.21;;0;;;;0;0;;0;;;
Antigua-et-Barbuda;Huile d'Arachide;vegetale;2;0.08;0.21;;0;;;;0;0;;;;;0
Antigua-et-Barbuda;Huile d'Olive;vegetale;12;0.51;1.4;;0;;;;0;0;;;;;0
Antigua-et-Barbuda;Huile de Coco;vegetale;1;0.04;0.12;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Huile de Colza&Moutarde;vegetale;11;0.47;1.28;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Huile de Germe de Maïs;vegetale;4;0.18;0.49;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Huile de Palme;vegetale;;0.11;;;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Huile de Soja;vegetale;96;3.97;10.87;;0;;0;;0;0;;;;;0
Antigua-et-Barbuda;Huile de Sésame;vegetale;1;0.03;0.09;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Huile de Tournesol;vegetale;1;0.02;0.06;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Huiles de Poissons;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Antigua-et-Barbuda;Ignames;vegetale;3;1.38;;0.06;0;;;;0;0;0;0;;;
Antigua-et-Barbuda;Légumineuses Autres;vegetale;8;0.84;0.06;0.55;0;;;;0;0;0;;;;0
Antigua-et-Barbuda;Manioc;vegetale;4;1.4;;0.03;0;0;;;0;0;0;0;;;
Antigua-et-Barbuda;Maïs;vegetale;22;2.44;0.24;0.49;0;0;;0;0;0;0;0;;;0
Antigua-et-Barbuda;Miel;vegetale;3;0.42;;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Noix;vegetale;5;0.69;0.43;0.12;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Oeufs;animale;15;4.33;1;1.19;0;;;0;0;0;0;0;0;;
Antigua-et-Barbuda;Olives;vegetale;1;0.34;0.09;;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Orge;vegetale;0;;;;0;;;0;0;;;;;0;
Antigua-et-Barbuda;Pamplemousse;vegetale;1;2.79;;;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Patates douces;vegetale;8;3.18;0.03;0.09;0;;;0;0;0;0;0;;;
Antigua-et-Barbuda;Piments;vegetale;2;0.18;0.09;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Plantes Aquatiques;animale;0;0;0;0;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Plantes Oleiferes, Autre;vegetale;1;0.07;0.03;0.03;0;;;;0;0;;;;;
Antigua-et-Barbuda;Pois;vegetale;6;0.63;;0.4;0;;0;;0;0;;;;;0
Antigua-et-Barbuda;Poissons Eau Douce;animale;2;0.74;0.07;0.23;0;;0;0;0;0;;;;;0
Antigua-et-Barbuda;Poivre;vegetale;3;0.4;;0.12;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Racines nda;vegetale;4;1.8;;0.09;0;;;;0;0;0;0;;;
Antigua-et-Barbuda;Seigle;vegetale;0;0.01;;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Soja;vegetale;0;0.07;0;0.03;0;;0;;0;0;;;;;
Antigua-et-Barbuda;Sucre, canne;vegetale;;;;;0;0;;;;;;0;;0;
Antigua-et-Barbuda;Sésame;vegetale;0;0.01;;;0;;;;0;0;;;;;
Antigua-et-Barbuda;Thé;vegetale;1;0.9;;0.24;0;;0;0;0;0;;;;;
Antigua-et-Barbuda;Viande d'Ovins/Caprins;animale;7;1.63;0.52;0.61;0;;0;;0;0;;0;;;
Antigua-et-Barbuda;Viande, Autre;animale;3;0.74;0.09;0.46;0;;;;0;0;;;;;
Antigua-et-Barbuda;Épices, Autres;vegetale;10;1.03;0.37;0.27;0;;0;0;0;0;;;;;
Arabie saoudite;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;0;;;
Arabie saoudite;Bière;vegetale;0;0;;0;0;;;0;0;0;;;;;
Arabie saoudite;Boissons Alcooliques;vegetale;;;;;0;;0;0;0;;;;;;0
Arabie saoudite;Boissons Fermentés;vegetale;0;0;;;0;;;;0;0;;;;;
Arabie saoudite;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Arabie saoudite;Huiles de Poissons;animale;0;0;0;0;0;0;0;0;0;0;;0;;;0
Arabie saoudite;Palmistes;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Arabie saoudite;Seigle;vegetale;0;0;;0;0;0;;0;0;0;;;;;
Arabie saoudite;Sucre, betterave;vegetale;;;;;0;0;;0;0;;;;;;0
Arabie saoudite;Viande de Suides;animale;;;;;0;;;0;;;;;;;
Arabie saoudite;Vin;vegetale;0;0;;;0;;;;0;0;;;;;
Argentine;Agrumes, Autres;vegetale;;;;;0;;;0;0;;;;;;
Argentine;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;0;;;
Argentine;Dattes;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Argentine;Girofles;vegetale;0;0;0;0;0;;;;0;0;;;;;
Argentine;Huile de Sésame;vegetale;0;0;0;;0;;;;0;0;;;;;
Argentine;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Argentine;Huiles de Poissons;animale;0;0;0;0;0;0;0;1;0;0;;1;;;
Argentine;Palmistes;vegetale;;;;;0;;0;;0;;;;;;
Argentine;Poissons Marins, Autres;animale;0;0.01;0;0;0;;0;;;0;;0;;;
Argentine;Racines nda;vegetale;;;;;0;;;0;0;;;;;;
Arménie;Alcool, non Comestible;vegetale;;;;;0;;0;3;1;;;3;;;
Arménie;Aliments pour enfants;vegetale;2;0.16;0.01;0.07;0;;;0;0;0;;;;;
Arménie;Ananas;vegetale;0;0.16;;0;0;;;0;1;0;;;;;0
Arménie;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;;;;
Arménie;Boissons Fermentés;vegetale;0;0.1;;;0;;;2;0;0;;2;;;
Arménie;Cephalopodes;animale;0;0;0;0;0;;0;0;0;0;;;;;
Arménie;Coco (Incl Coprah);vegetale;0;0.08;0.03;0;0;;;0;0;0;;;;;0
Arménie;Crustacés;animale;0;0.02;0;0;0;;0;5;0;0;;5;;;
Arménie;Crème;animale;0;0.01;0.01;0;0;;;;0;0;;;;;
Arménie;Dattes;vegetale;1;0.15;0;0.01;0;;;0;0;0;;;;;
Arménie;Girofles;vegetale;;;;;0;0;;;0;;;;;;
Arménie;Graines Colza/Moutarde;vegetale;0;0;0;0;0;0;;;0;0;;;;;
Arménie;Huile Graines de Coton;vegetale;0;0;0;;0;;0;;0;0;;;;;0
Arménie;Huile d'Arachide;vegetale;0;0;0;;0;;;;0;0;;;;;
Arménie;Huile d'Olive;vegetale;1;0.03;0.09;;0;;0;;0;0;;;;;
Arménie;Huile de Colza&Moutarde;vegetale;0;0;0;;0;;;;0;0;;;;;
Arménie;Huile de Germe de Maïs;vegetale;3;0.14;0.39;;0;;;;0;0;;;;;
Arménie;Huile de Palmistes;vegetale;0;0.01;0.02;;0;;;;0;0;;;;;
Arménie;Huile de Sésame;vegetale;0;0;0;;0;;;;0;0;;;;;
Arménie;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;;0;0;;;;;
Arménie;Huiles de Poissons;animale;0;0;0;0;0;;0;;0;0;;;;;
Arménie;Manioc;vegetale;;;;;0;0;;;0;;;;;;
Arménie;Millet;vegetale;;;;;0;0;;;0;;;;;;
Arménie;Mollusques, Autres;animale;0;0;0;0;0;;0;;0;0;;;;;
Arménie;Perciform;animale;0;0.07;0.02;0.03;0;;0;0;0;0;;;;;
Arménie;Piments;vegetale;0;0.02;0.01;0.01;0;;;;0;0;;;;;
Arménie;Plantes Aquatiques;animale;0;0;0;0;0;;0;0;0;0;;0;;;
Arménie;Poivre;vegetale;0;0.03;0;0.01;0;;;0;0;0;;;;;0
Arménie;Racines nda;vegetale;;;;;0;0;;;0;;;;;;
Arménie;Soja;vegetale;0;0;;;0;0;;;0;0;;;;;
Arménie;Sorgho;vegetale;;;;;0;0;;;0;;;;;;
Arménie;Sésame;vegetale;0;0.01;0.01;0;0;;;;0;0;;;;;
Arménie;Thé;vegetale;0;0.12;;0.03;0;;;0;0;0;;;;;
Arménie;Viande, Autre;animale;0;0;0;0;0;;;0;0;0;;;;;
Arménie;Épices, Autres;vegetale;0;0.02;0.01;0.01;0;;;0;0;0;;;;;0
Australie;Bananes plantains;vegetale;0;0;;;0;;;;0;0;;;;;
Australie;Girofles;vegetale;0;0.01;0.01;0;0;;;0;0;0;;;;;
Australie;Huiles de Foie de Poisso;animale;0;0.01;0.03;0;0;;0;0;0;0;;0;;;0
Australie;Ignames;vegetale;;;;;0;;0;;0;;;;;;
Australie;Palmistes;vegetale;;;;;0;;;0;0;;;;;;
Australie;Sucre, betterave;vegetale;;;;;0;0;;0;0;;;;;;
Autriche;Aliments pour enfants;vegetale;0;0.01;0;0;0;;;7;7;0;;;;;0
Autriche;Animaux Aquatiques Autre;animale;0;0.03;0;0;0;;0;0;0;0;;;;;
Autriche;Girofles;vegetale;0;0.01;0;0;0;;;0;0;0;;;;;
Autriche;Graines de coton;vegetale;;;;;0;;0;0;0;;;;;;0
Autriche;Huile Graines de Coton;vegetale;0;0;0;0;0;;;0;0;0;;;;;0
Autriche;Huile d'Arachide;vegetale;1;0.05;0.13;;0;;;0;1;0;;;;;
Autriche;Huile de Sésame;vegetale;0;0.01;0.02;;0;;;0;0;0;;;;;
Autriche;Huiles de Foie de Poisso;animale;0;0;0;0;0;;0;0;0;0;;;;;0
Autriche;Ignames;vegetale;0;0;;;0;;;;0;0;;;;;
Autriche;Palmistes;vegetale;;;;;0;;0;0;0;;;;;;
Autriche;Patates douces;vegetale;0;0.05;;0;0;;;0;0;0;;;;;0
Autriche;Racines nda;vegetale;0;0;;;0;;0;0;1;0;;;;;
Autriche;Sucre, canne;vegetale;;;;;0;;0;;0;;;;;;
Azerbaïdjan;Alcool, non Comestible;vegetale;;;;;0;;0;0;0;;;;;;0
Azerbaïdjan;Animaux Aquatiques Autre;animale;0;0;0;0;0;;0;;0;0;;;;;
Azerbaïdjan;Bananes plantains;vegetale;0;0;;0;0;;;;0;0;;;;;
Azerbaïdjan;Boissons Fermentés;vegetale;0;0.01;;;0;;;0;0;0;;0;;;
Azerbaïdjan;Cephalopodes;animale;0;0;0;0;0;;0;;0;0;;;;;
Azerbaïdjan;Coco (Incl Coprah);vegetale;0;0.01;0;0;0;;;0;0;0;;;;;
Azerbaïdjan;Crustacés;animale;0;0.04;0;0.01;0;;0;0;0;0;;0;;;
Azerbaïdjan;Crème;animale;0;0;0;0;0;;;0;0;0;;;;;
Azerbaïdjan;Girofles;vegetale;;;;;0;;0;;0;;;;;;
Azerbaïdjan;Graines Colza/Moutarde;vegetale;0;0;0;0;0;;;0;0;0;;;;;0
Azerbaïdjan;Graisses Animales Crue;animale;1;0.05;0.13;0;0;;0;20;8;0;;9;;;3
Azerbaïdjan;Huile de Coco;vegetale;0;0.02;0.05;;0;;;;0;0;;;;;
Azerbaïdjan;Huile de Colza&Moutarde;vegetale;0;0;0;;0;;;;0;0;;;;;
Azerbaïdjan;Huile de Palmistes;vegetale;;;;;0;;0;;0;;;;;;
Azerbaïdjan;Huile de Sésame;vegetale;0;0;0;;0;;;0;0;0;;;;;
Azerbaïdjan;Huiles de Poissons;animale;0;0;0;0;0;;0;0;;0;;0;;;
Azerbaïdjan;Manioc;vegetale;;;;;0;0;;;0;;;;;;
Azerbaïdjan;Millet;vegetale;;;;;0;0;;;0;;;0;;;
Azerbaïdjan;Mollusques, Autres;animale;0;0;0;0;0;;0;;0;0;;;;;
Azerbaïdjan;Palmistes;vegetale;;;;;0;;;0;;;;;;;
Azerbaïdjan;Piments;vegetale;0;0;0;0;0;;;0;0;0;;;;;
Azerbaïdjan;Plantes Aquatiques;animale;0;0;0;0;0;;0;;0;0;;;;;
Azerbaïdjan;Poissons Marins, Autres;animale;0;0.05;0.01;0.02;0;;0;0;0;0;;;;;0
Azerbaïdjan;Poivre;vegetale;0;0.01;0;0;0;;;;0;0;;;;;
Azerbaïdjan;Racines nda;vegetale;0;0;;;0;0;;;0;0;;;;;
Azerbaïdjan;Sorgho;vegetale;;;;;0;0;;;;;;0;;;
Azerbaïdjan;Sésame;vegetale;;;;;0;;0;;0;;;;;;
Bahamas;Agrumes, Autres;vegetale;0;0.02;;;0;;;;0;0;;;;;
Bahamas;Alcool, non Comestible;vegetale;;;;;0;;0;;0;;;;;;
Bahamas;Animaux Aquatiques Autre;animale;0;0.01;0;0;0;;0;;0;0;;0;;;
Bahamas;Boissons Fermentés;vegetale;1;0.87;;;0;;;0;0;0;;;;;
Bahamas;Cephalopodes;animale;0;0.18;0;0.07;0;;0;0;0;0;;0;;;
Bahamas;Crème;animale;1;0.2;0.11;0.01;0;;;;0;0;;;;;
Bahamas;Céréales, Autres;vegetale;8;1.07;0.02;0.22;0;0;0;;0;0;;;;;0
Bahamas;Dattes;vegetale;0;0.05;;;0;;;;0;0;;;;;
Bahamas;Girofles;vegetale;0;0.01;;;0;;;;0;0;;;;;
Bahamas;Graines Colza/Moutarde;vegetale;8;1;1;0;0;;;;0;0;;;;;
Bahamas;Graines de tournesol;vegetale;0;0.01;;;0;;;;0;0;;;;;
Bahamas;Haricots;vegetale;5;0.56;0.03;0.34;0;;;;0;0;;;;;0
Bahamas;Huile Graines de Coton;vegetale;0;0.01;0.02;;0;;;;0;0;;;;;
Bahamas;Huile d'Arachide;vegetale;0;0.01;0.01;;0;;;;0;0;;;;;0
Bahamas;Huile de Coco;vegetale;1;0.03;0.07;;0;;0;;0;0;;;;;0
Bahamas;Huile de Colza&Moutarde;vegetale;;;;;0;;0;;0;;;;;;
Bahamas;Huile de Germe de Maïs;vegetale;5;0.21;0.58;;0;;0;;0;0;;;;;0
